typeOfSource,name,url,url_alt,assessmentStatus,assessmentFootnote,discussionSummary,discussionSummaryFootnote
journal,Annals of Internal Medicine,https://www.acpjournals.org/journal/aim,,reliable,,,
journal,BMJ,https://bmj.com,,reliable,"<ref name=""wpcovid19"" />",,
news,Boston Globe Media,https://bostonglobe.com/,,reliable,"<ref name=""wpcovid19"">{{Citation |title=Wikipedia:WikiProject COVID-19/Sources |date=2023-02-15 |url=https://en.wikipedia.org/w/index.php?title=Wikipedia:WikiProject_COVID-19/Sources&oldid=1139547948 |work=Wikipedia |language=en |access-date=2023-02-15}}</ref>",,
journal,Canadian Medical Assoc. Journal,https://www.cmaj.ca/,,reliable,,,
news,Canberra Times,https://www.canberratimes.com.au/,,reliable,"<ref name=""wpcovid19"" />",,
journal,Cell,https://www.cell.com,,reliable,,,
research,Center for Infectious Disease Research and Policy,https://www.cidrap.umn.edu,,reliable,"<ref name=""wpcovid19"" />",,
news,Chicago Tribune,https://chicagotribune.com/,,reliable,"<ref name=""wpcovid19"" />",,
news,Columbus Dispatch,https://www.dispatch.com/,,reliable,"<ref name=""wpcovid19"" />",,
news,Dallas Morning News,https://www.dallasnews.com,,reliable,"<ref name=""wpcovid19"" />",,
journal,JAMA,https://jamanetwork.com/,,reliable,,,
news,Miami Herald,https://www.miamiherald.com/,,reliable,"<ref name=""wpcovid19"" />",,
news,National Post,https://nationalpost.com/,,reliable,"<ref name=""wpcovid19"" />",,
journal,Nature,https://nature.com/,,reliable,,,
journal,NEJM,https://www.nejm.org,,reliable,,,
news,Reuters,https://www.reuters.com/,,reliable,"<ref name=""wpcovid19"" />",,
journal,Science,https://www.science.org/,,reliable,,,
news,The Atlantic,https://www.theatlantic.com/,,reliable,"<ref name=""wpcovid19"" />",,
news,The Globe and Mail,https://www.theglobeandmail.com/,,reliable,"<ref name=""wpcovid19"" />",,
news,The Guardian,https://theguardian.com/,,reliable,"<ref name=""wpcovid19"" />",,
journal,The Lancet,https://www.thelancet.com/,,reliable,,,
news,The New Yorker,https://www.newyorker.com,,reliable,"<ref name=""wpcovid19"" />",,
news,The New York Times,https://nytimes.com/,,reliable,"<ref name=""wpcovid19"" />",,
news,The Philadelphia Inquirer,https://www.inquirer.com/,,reliable,"<ref name=""wpcovid19"" />",,
news,The Seattle Times,https://seattletimes.com,,reliable,"<ref name=""wpcovid19"" />",,
news,The Toronto Star,https://www.thestar.com/,,reliable,"<ref name=""wpcovid19"" />",,
news,The Washington Post,https://www.washingtonpost.com/,,reliable,"<ref name=""wpcovid19"" />",,
news,Vox,https://vox.com/,,reliable,"<ref name=""wpcovid19"" />",,
news,Wired,https://wired.com/,,reliable,"<ref name=""wpcovid19"" />",,
