row_type,row_source_name,row_url,row_status,row_comment
Journal,[[Annals of Internal Medicine]],[https://www.acpjournals.org/journal/aim acpjournals.org],{{vsrate|reliable}},
Journal,[[The BMJ|BMJ]],[https://bmj.com bmj.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
News,[[The Boston Globe|Boston Globe Media]],[https://bostonglobe.com/ bostonglobe.com],"{{vsrate|reliable}}<ref name=""wpcovid19"">{{Citation |title=Wikipedia:WikiProject COVID-19/Sources |date=2023-02-15 |url=https://en.wikipedia.org/w/index.php?title=Wikipedia:WikiProject_COVID-19/Sources&oldid=1139547948 |work=Wikipedia |language=en |access-date=2023-02-15}}</ref>",
Journal,[[Canadian Medical Association Journal|Canadian Medical Assoc. Journal]],[https://www.cmaj.ca/ cmaj.ca],{{vsrate|reliable}},
News,[[The Canberra Times|Canberra Times]],[https://www.canberratimes.com.au/ canberratimes.com.au],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
Journal,[[Cell (journal)|Cell]],[https://www.cell.com cell.com],{{vsrate|reliable}},
Research,"[[Center for Infectious Disease Research and Policy]], [[University of Minnesota]]",[https://www.cidrap.umn.edu www.cidrap.umn.edu],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
News,[[Chicago Tribune]],[https://chicagotribune.com/ chicagotribune.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
News,[[The Columbus Dispatch|Columbus Dispatch]],[https://www.dispatch.com/ www.dispatch.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
News,[[The Dallas Morning News|Dallas Morning News]],[https://www.dallasnews.com www.dallasnews.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
Journal,[[JAMA]],[https://jamanetwork.com/ jamanetwork.com],{{vsrate|reliable}},
News,[[Miami Herald]],[https://www.miamiherald.com/ www.miamiherald.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
News,[[National Post]] (Canada),[https://nationalpost.com/ nationalpost.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
Journal,[[Nature (journal)|Nature]],[https://nature.com/ nature.com],{{vsrate|reliable}},
Journal,[[The New England Journal of Medicine|NEJM]],[https://www.nejm.org www.nejm.org],{{vsrate|reliable}},
News,[[Reuters]],[https://www.reuters.com/ www.reuters.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
Journal,[[Science]],[https://www.science.org/ www.science.org],{{vsrate|reliable}},
News,[[The Atlantic]],[https://www.theatlantic.com/ www.theatlantic.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
News,[[The Globe and Mail]] (Canada),[https://www.theglobeandmail.com/ www.theglobeandmail.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
News,[[The Guardian]],[https://theguardian.com/ theguardian.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
Journal,[[The Lancet]],[https://www.thelancet.com/ www.thelancet.com],{{vsrate|reliable}},
